nodes_removed,repetitions,lcc_size_ratio_mean,lcc_size_ratio_std,global_efficiency_ratio_mean,global_efficiency_ratio_std,lcc_size_ratio_q05,lcc_size_ratio_q95,global_efficiency_ratio_q05,global_efficiency_ratio_q95
14,30,0.9951484834047959,0.001972751213490092,0.9841376180777767,0.03652314409975727,0.9914602191519771,0.9966650786088613,0.9387175140066607,1.0229435257022035
15,30,0.9948149912656821,0.001973941071417982,0.9797238756620799,0.037223643716933,0.9912220104811815,0.9964268699380657,0.9299809384145629,1.038606611853321
16,30,0.9945609020168333,0.0019703693420570277,0.9852131710974226,0.03991350636295583,0.9909838018103859,0.9961886612672701,0.9316473589964652,1.0381429868159253
17,30,0.99420358901064,0.0019406013502246235,0.9831966640579345,0.02946597249151683,0.9907455931395903,0.9959504525964745,0.9335841030390939,1.0271817469522289
18,30,0.9938462760044466,0.0020898825321575116,0.9754202430142195,0.043901515276123786,0.9895545497856122,0.9957122439256789,0.9111370537999688,1.0441209151216069
19,30,0.9935604255994919,0.0020657753020745804,0.9767307387804621,0.03664464349858558,0.9893163411148166,0.9954740352548833,0.9276935240651967,1.037577693692539
20,30,0.9931634111481658,0.0021590206301214387,0.9818876728712361,0.03881322645687973,0.989078132444021,0.9952358265840877,0.9146205511295658,1.0361348232586527
21,30,0.9929013816102905,0.0021745976928876933,0.974098498471644,0.03678157073285832,0.9888399237732254,0.994997617913292,0.9187767840360659,1.0269385322483418
22,30,0.9926234714943624,0.002171070679079443,0.9766253127763718,0.034193808239050404,0.9886017151024298,0.9947594092424964,0.9366063199977169,1.0376812230096035
23,30,0.9923773225345403,0.002174237749544527,0.9780265251478227,0.034917290821804364,0.9883635064316341,0.9945212005717008,0.9307299746604432,1.0234554861902663
24,30,0.9920358901063999,0.0021865171555204405,0.9718683007735186,0.03299033932492692,0.9878632682229633,0.9942829919009052,0.9246633890840726,1.0143581680069296
25,30,0.9913212640940131,0.0026692593518721263,0.9718262243912353,0.03549413482848044,0.9862672701286327,0.9940447832301096,0.9148430345385276,1.0241954018211987
26,30,0.9904557725901223,0.0030887622252726006,0.9728980513303406,0.03907511388174778,0.9838851834206765,0.993806574559314,0.9119915821580158,1.0313911470703816
27,30,0.9899793552485311,0.00317312975364884,0.9728723554063557,0.03657991493572237,0.9836469747498809,0.9935683658885184,0.9203575135436092,1.032805233950949
28,30,0.9896855645545498,0.0031775766984263602,0.9694284654795138,0.028840362002933523,0.9832777513101477,0.9933301572177228,0.9333020930837674,1.017180099102847
29,30,0.9890662220104811,0.003315709617454625,0.9679636453682738,0.03410399875219104,0.9827775131014769,0.9930919485469271,0.9285805289698249,1.0193464461775859
30,30,0.9887962521835795,0.0033439934464007245,0.9684430531384857,0.035180480783673154,0.9825393044306813,0.9928537398761315,0.9175724478432411,1.0220893885643743
31,30,0.9882404319517231,0.0033661549183804447,0.9684693590094078,0.034096292136041775,0.9813959028108623,0.9922939494997618,0.9061484504314418,1.0189149916680293
32,30,0.9879625218357949,0.0033406272596670254,0.9685042058813835,0.03811422324619313,0.9811576941400667,0.9920557408289662,0.9155033253495768,1.0270616674970598
33,30,0.9876607908527871,0.003356210081709387,0.9672922726003395,0.04163822741675845,0.9809194854692711,0.9915555026202955,0.9144891553719873,1.0429707304929727
34,30,0.9873431792917262,0.003453520570140035,0.9704180115220064,0.039646371537948914,0.9803358742258218,0.9911862791805621,0.9106746808124976,1.0208047326796938
