node_id,lat,lon,stop_count,in_degree_weighted,out_degree_weighted,betweenness,closeness,eigenvector
2555,20.631255000000003,-103.23208,2,1,2,0.0004709220770966229,0.020519734749687536,4.0881011599543154e-22
2556,20.66992,-103.2352,1,2,1,0.0,0.02072282075009846,1.01668778872778e-20
2557,20.69927,-103.27694,1,2,1,0.003332398249277925,0.02285269476728148,3.5360832298368895e-25
2558,20.71244,-103.28831,2,2,2,0.003394768657900971,0.023400117216643458,3.389287189963123e-24
2559,20.71264,-103.29417,2,2,3,0.0033941455203034656,0.02248659228725788,5.914577052936511e-25
2560,20.70656,-103.2959675,4,4,3,0.0006633016481083072,0.025695731127183152,7.665720749838447e-22
2561,20.70455,-103.29566,1,1,1,6.44664169055644e-05,0.025119251414061763,6.68224522985474e-23
2562,20.6999725,-103.29495,4,4,5,0.0006984239490586147,0.026687746745199366,1.1642444950086903e-23
2563,20.68564,-103.34282,1,0,1,0.0,0.0,1.1308881024556818e-104
2564,20.701880000000003,-103.295145,2,2,2,0.00021362289819937025,0.025975026507672954,2.0280321070075487e-24
2565,20.71225,-103.29202,2,2,2,0.004568448322802497,0.02561758361419758,1.2009345692949073e-21
2566,20.70899,-103.287,2,2,3,0.004567825185204991,0.024325387724474234,2.0933132216871187e-22
2567,20.6634,-103.21215,1,1,1,0.005132104604182432,0.01672992293819874,6.797258912249152e-27
2568,20.66992,-103.2214,1,1,1,0.006061372708680567,0.01796597841000858,4.0793826609792955e-25
2569,20.66434,-103.21325,1,1,1,0.005381019749949611,0.018203326167341535,4.0793826609792955e-25
2570,20.681203333333332,-103.33277,3,3,6,0.0022448815194496537,0.03312482288399354,3.296420785469177e-14
2571,20.67517,-103.335155,2,2,3,0.0019563121629321274,0.033122053636622885,1.4843780312905443e-14
2572,20.66902,-103.33725,1,2,2,0.000788354034153152,0.03291208735440958,3.9174827652762694e-16
2573,20.667675,-103.337215,4,5,5,0.004003970632771305,0.03475894207737264,3.3093466046986286e-14
2574,20.66526,-103.33971,1,1,1,0.00048134546963671417,0.033241061356222595,2.8646632156151448e-15
2575,20.66438,-103.345505,2,2,2,0.0024486475138339376,0.03444166580912416,6.269998193207083e-13
2576,20.66338,-103.34196,1,1,1,0.00048225185159672207,0.030758052731271735,1.3113913855491304e-11
2577,20.66372,-103.34035,1,1,1,0.00048162871399921663,0.02977142619632831,1.1313912500717527e-12
2578,20.66513,-103.33773,1,1,1,0.0004810055764017112,0.02858177381421854,9.763810690242419e-14
2579,20.67329,-103.33519,1,1,1,0.0011852077104553764,0.03316231790872267,3.835058936358172e-16
2580,20.6859,-103.26361,1,1,1,0.00033825041770046136,0.022284594119530578,5.475814455361251e-25
2581,20.689259999999997,-103.272845,2,3,3,0.0017871303052093962,0.024166479498760843,2.0793696157551565e-24
2582,20.68706,-103.27224,1,1,1,0.0004994164599643724,0.023515204533945594,2.6618572515478246e-25
2583,20.68473,-103.27262,1,1,1,0.0004987933223668669,0.02296021701944486,3.4075480214498927e-26
2584,20.65321,-103.27867,1,2,3,0.005125505010536124,0.028681426993052598,9.675053137538437e-21
2585,20.650855,-103.27914,2,2,2,0.0024730631778816514,0.028448424658540496,8.62512285499115e-22
2586,20.6412,-103.28220999999999,2,2,2,0.0009447332466907711,0.02777599349749266,7.612146625735199e-17
2587,20.634523333333334,-103.28434333333333,3,4,5,0.006072900754234418,0.029111777492917348,9.029614015859576e-16
2588,20.644640000000003,-103.28065000000001,2,3,3,0.0013415585985567453,0.028053340672173025,1.1602670473417462e-18
2589,20.646565000000002,-103.28016500000001,2,2,2,0.0012182340031231657,0.027750492097311612,9.842349683206283e-20
2590,20.64876,-103.28118,1,1,3,0.001169742568262741,0.027322211110110572,7.058077671412663e-22
2591,20.66006,-103.27899,2,4,2,0.0008929561772253178,0.028697852961498106,7.703994397743012e-21
