nodes_removed,repetitions,lcc_size_ratio_mean,lcc_size_ratio_std,global_efficiency_ratio_mean,global_efficiency_ratio_std,lcc_size_ratio_q05,lcc_size_ratio_q95,global_efficiency_ratio_q05,global_efficiency_ratio_q95
16,10,0.9961410195331111,0.0001506563916230602,0.972922571214399,0.018904757855891623,0.995926631729395,0.9961886612672701,0.9467532925548318,0.9991214501047708
17,10,0.9959028108623155,0.0001506563916230602,0.9726806865643608,0.0195350021212046,0.9956884230585994,0.9959504525964745,0.9514635351870965,1.0022706999633013
18,10,0.9956646021915198,0.0001506563916230602,0.9789815554439288,0.020365839006643554,0.9954502143878038,0.9957122439256789,0.9531021213414036,1.0076339720090621
19,10,0.9954263935207243,0.00015065639162309728,0.9725410492888061,0.023524273604616786,0.9952120057170081,0.9954740352548833,0.9433206596688807,1.006773959175896
20,10,0.9951881848499285,0.00015065639162309728,0.9751801222025567,0.024904495177599812,0.9949737970462125,0.9952358265840877,0.9374621107375248,1.0058474182994033
21,10,0.9949499761791328,0.0001506563916230602,0.9644967273062892,0.020834095296967406,0.9947355883754169,0.994997617913292,0.931232504377774,0.9880957884401477
22,10,0.9947117675083372,0.0001506563916230602,0.9712329264967202,0.02318170187588376,0.9944973797046213,0.9947594092424964,0.9394539345223102,1.0012396661607768
23,10,0.9944735588375417,0.0001506563916230602,0.9693474870926296,0.02679884840503352,0.9942591710338257,0.9945212005717008,0.932193356318719,1.0083411617011755
24,10,0.994235350166746,0.0001506563916230602,0.9682540795257498,0.029373771886944268,0.9940209623630301,0.9942829919009052,0.936956938210162,1.0076089588227835
25,10,0.9939971414959505,0.0001506563916230602,0.9643892101045293,0.02676467986854691,0.9937827536922345,0.9940447832301096,0.9304273400062187,1.0037569708292498
26,10,0.9937589328251548,0.0001506563916230602,0.9678611937452952,0.017894254309254624,0.9935445450214389,0.993806574559314,0.9417707676008917,0.9935038824015935
27,10,0.9935207241543592,0.00015065639162309728,0.96362438510142,0.0328299826655205,0.9933063363506431,0.9935683658885184,0.9180725954475295,1.006306090508521
28,10,0.9932825154835637,0.00015065639162309728,0.9736358696168251,0.034659546090568295,0.9930681276798475,0.9933301572177228,0.9154213282086416,1.0089014121502813
29,10,0.993044306812768,0.0001506563916230602,0.9711803909688512,0.022201882853652766,0.9928299190090519,0.9930919485469271,0.9393780917128134,0.9999829474463323
30,10,0.9928060981419723,0.0001506563916230602,0.9734505389077878,0.021149248166499875,0.9925917103382563,0.9928537398761315,0.9503142683512729,1.0028126006626568
31,10,0.9925678894711767,0.0001506563916230602,0.968524055274686,0.034062461808723146,0.9923535016674607,0.9926155312053359,0.9210680059239255,1.015738676601036
32,10,0.9923296808003812,0.0001506563916230602,0.9773972572018208,0.027566912842785278,0.9921152929966651,0.9923773225345403,0.937398226290705,1.0105396454081361
33,10,0.9920914721295855,0.0001506563916230602,0.9725619400398606,0.023232973215869538,0.9918770843258695,0.9921391138637446,0.9430309967247139,1.003241121132603
34,10,0.99185326345879,0.0001506563916230602,0.9770623056291232,0.020038163310832562,0.9916388756550739,0.991900905192949,0.9504592982891991,1.0031367712971015
35,10,0.9916150547879943,0.00015065639162309728,0.9717286595997287,0.01910395232100745,0.9914006669842782,0.9916626965221534,0.9478291392968524,0.9991446016386965
36,10,0.9913768461171987,0.00015065639162309728,0.9706540451932973,0.026896634814563065,0.9911624583134826,0.9914244878513578,0.927710057667118,1.0035327420962348
37,10,0.991138637446403,0.0001506563916230602,0.9737009281532936,0.0243111636062141,0.990924249642687,0.9911862791805621,0.9434586389719107,1.005376527352567
38,10,0.9909004287756075,0.0001506563916230602,0.9749806625560185,0.025559462193358546,0.9906860409718914,0.9909480705097665,0.9357130718351884,1.0036155775440707
39,10,0.9906622201048118,0.0001506563916230602,0.9726610658556222,0.01681313820858946,0.9904478323010958,0.9907098618389709,0.9482118537565435,0.991489056631876
40,10,0.9904240114340161,0.0001506563916230602,0.9645472130101144,0.023266966197609845,0.9902096236303002,0.9904716531681753,0.9338706211525181,0.9936928206723658
41,10,0.9901858027632207,0.0001506563916230602,0.9728660259974236,0.02869280336179868,0.9899714149595046,0.9902334444973797,0.9359847135118329,1.0144934096089906
42,10,0.9899475940924249,0.0001506563916230602,0.9718926100404219,0.021919770004655423,0.989733206288709,0.9899952358265841,0.9423414456610951,0.9989158224568031
43,10,0.9897093854216295,0.00015065639162309728,0.9686651146836196,0.02440272696334265,0.9894949976179133,0.9897570271557885,0.935904848673834,1.0047605959396733
44,10,0.9894711767508337,0.00015065639162309728,0.9804008849314023,0.014696221766760602,0.9892567889471177,0.9895188184849929,0.9608651362399495,1.0003556246618976
45,10,0.989232968080038,0.0001506563916230602,0.9795280651926166,0.028049307184304137,0.9890185802763221,0.9892806098141972,0.9356966622925355,1.0083962243337563
46,10,0.9889947594092424,0.0001506563916230602,0.9758902216605725,0.021072062137539257,0.9887803716055265,0.9890424011434016,0.9507303578526127,1.0022971178693092
47,10,0.9887565507384469,0.0001506563916230602,0.9691835858558632,0.017562597566632508,0.9885421629347309,0.988804192472606,0.9399307891417295,0.9853035967579621
48,10,0.9885183420676512,0.0001506563916230602,0.9617620285828485,0.026419542898547976,0.9883039542639352,0.9885659838018104,0.929618926508463,0.9993654612780359
49,10,0.9882801333968556,0.0001506563916230602,0.967351623515974,0.02087160650622863,0.9880657455931396,0.9883277751310148,0.9357912592490985,0.9938949462078224
50,10,0.9880419247260601,0.0001506563916230602,0.969337183663837,0.01638549624865348,0.987827536922344,0.9880895664602192,0.9538246882001814,0.9938622110087694
